song_id,title,artist,genre,year
1,Blinding Lights,The Weeknd,Pop,2020
2,Shape of You,Ed Sheeran,Pop,2017
3,Someone Like You,Adele,Soul,2011
4,Believer,Imagine Dragons,Rock,2017
5,Thunder,Imagine Dragons,Rock,2017
6,Senorita,Shawn Mendes,Pop,2019
7,Perfect,Ed Sheeran,Pop,2017
8,Radioactive,Imagine Dragons,Rock,2012
9,Hello,Adele,Soul,2015
10,Starboy,The Weeknd,Pop,2016
11,Levitating,Dua Lipa,Pop,2020
12,Faded,Alan Walker,EDM,2015
13,Happier,Marshmello,EDM,2018
14,Viva La Vida,Coldplay,Rock,2008
15,Yellow,Coldplay,Rock,2000
16,Love Story,Taylor Swift,Pop,2008
17,Bad Guy,Billie Eilish,Pop,2019
18,Watermelon Sugar,Harry Styles,Pop,2019
19,Kesariya,Arijit Singh,Bollywood,2022
20,Kalank Title Track,Arijit Singh,Bollywood,2019
21,Vaathi Coming,Anirudh Ravichander,Tamil,2020
22,Kun Faya Kun,A. R. Rahman,Bollywood,2011
23,Brown Munde,AP Dhillon,Punjabi,2020
24,Tu Aake Dekhle,King,Hindi Pop,2020
25,Genda Phool,Badshah,Hindi Pop,2020
26,Memories,Maroon 5,Pop,2019
27,Counting Stars,OneRepublic,Pop,2013
28,Paris,The Chainsmokers,EDM,2017
29,Fake Love,BTS,K-Pop,2018
30,Symphony No.5,Beethoven,Classical,1808
